"filename", "language", "C#", "XAML", "XML", "JSON", "Properties", "comment", "blank", "total"
"e:\project\2025\TROIEditor\TROIEditor\App.xaml", "XAML", 0, 17, 0, 0, 0, 0, 0, 17
"e:\project\2025\TROIEditor\TROIEditor\App.xaml.cs", "C#", 9, 0, 0, 0, 0, 3, 3, 15
"e:\project\2025\TROIEditor\TROIEditor\AssemblyInfo.cs", "C#", 5, 0, 0, 0, 0, 4, 2, 11
"e:\project\2025\TROIEditor\TROIEditor\MainWindow.xaml", "XAML", 0, 11, 0, 0, 0, 0, 2, 13
"e:\project\2025\TROIEditor\TROIEditor\MainWindow.xaml.cs", "C#", 20, 0, 0, 0, 0, 3, 1, 24
"e:\project\2025\TROIEditor\TROIEditor\Models\RoiCombineMode.cs", "C#", 43, 0, 0, 0, 0, 0, 0, 43
"e:\project\2025\TROIEditor\TROIEditor\Models\RoiHitType.cs", "C#", 73, 0, 0, 0, 0, 0, 0, 73
"e:\project\2025\TROIEditor\TROIEditor\Models\RoiTool.cs", "C#", 83, 0, 0, 0, 0, 0, 0, 83
"e:\project\2025\TROIEditor\TROIEditor\Models\Roi\ArcRoi.cs", "C#", 505, 0, 0, 0, 0, 0, 0, 505
"e:\project\2025\TROIEditor\TROIEditor\Models\Roi\CircleRoi.cs", "C#", 164, 0, 0, 0, 0, 0, 0, 164
"e:\project\2025\TROIEditor\TROIEditor\Models\Roi\EllipseRoi.cs", "C#", 325, 0, 0, 0, 0, 0, 0, 325
"e:\project\2025\TROIEditor\TROIEditor\Models\Roi\GeometryRoi.cs", "C#", 287, 0, 0, 0, 0, 0, 0, 287
"e:\project\2025\TROIEditor\TROIEditor\Models\Roi\PolygonRoi.cs", "C#", 506, 0, 0, 0, 0, 0, 0, 506
"e:\project\2025\TROIEditor\TROIEditor\Models\Roi\RectRoi.cs", "C#", 315, 0, 0, 0, 0, 0, 0, 315
"e:\project\2025\TROIEditor\TROIEditor\Models\Roi\RoiBase.cs", "C#", 342, 0, 0, 0, 0, 0, 0, 342
"e:\project\2025\TROIEditor\TROIEditor\Services\GeometryBooleanService.cs", "C#", 397, 0, 0, 0, 0, 0, 0, 397
"e:\project\2025\TROIEditor\TROIEditor\Services\HitTestService.cs", "C#", 555, 0, 0, 0, 0, 0, 0, 555
"e:\project\2025\TROIEditor\TROIEditor\Services\MaskExportService.cs", "C#", 592, 0, 0, 0, 0, 0, 0, 592
"e:\project\2025\TROIEditor\TROIEditor\Services\TransformService.cs", "C#", 443, 0, 0, 0, 0, 0, 0, 443
"e:\project\2025\TROIEditor\TROIEditor\TROIEditor.csproj", "XML", 0, 0, 12, 0, 0, 0, 4, 16
"e:\project\2025\TROIEditor\TROIEditor\ViewModels\RoiEditorViewModel.cs", "C#", 1762, 0, 0, 0, 0, 0, 0, 1762
"e:\project\2025\TROIEditor\TROIEditor\bin\Debug\net8.0-windows\TROIEditor.deps.json", "JSON", 0, 0, 0, 41, 0, 0, 0, 41
"e:\project\2025\TROIEditor\TROIEditor\bin\Debug\net8.0-windows\TROIEditor.runtimeconfig.json", "JSON", 0, 0, 0, 20, 0, 0, 0, 20
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 0, 1, 1, 5
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\App.g.cs", "C#", 43, 0, 0, 0, 0, 18, 11, 72
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\App.g.i.cs", "C#", 43, 0, 0, 0, 0, 18, 11, 72
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\MainWindow.g.cs", "C#", 50, 0, 0, 0, 0, 15, 12, 77
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\MainWindow.g.i.cs", "C#", 50, 0, 0, 0, 0, 15, 12, 77
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor.AssemblyInfo.cs", "C#", 11, 0, 0, 0, 0, 10, 5, 26
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 21, 0, 1, 22
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor.GlobalUsings.g.cs", "C#", 5, 0, 0, 0, 0, 1, 1, 7
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor.designer.deps.json", "JSON", 0, 0, 0, 28, 0, 0, 0, 28
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor.designer.runtimeconfig.json", "JSON", 0, 0, 0, 26, 0, 0, 0, 26
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_akeotqfv_wpftmp.AssemblyInfo.cs", "C#", 11, 0, 0, 0, 0, 10, 5, 26
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_akeotqfv_wpftmp.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 21, 0, 1, 22
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_akeotqfv_wpftmp.GlobalUsings.g.cs", "C#", 5, 0, 0, 0, 0, 1, 1, 7
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_odgenulo_wpftmp.AssemblyInfo.cs", "C#", 11, 0, 0, 0, 0, 10, 5, 26
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_odgenulo_wpftmp.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 21, 0, 1, 22
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_odgenulo_wpftmp.GlobalUsings.g.cs", "C#", 5, 0, 0, 0, 0, 1, 1, 7
"e:\project\2025\TROIEditor\TROIEditor\obj\TROIEditor.csproj.nuget.dgspec.json", "JSON", 0, 0, 0, 83, 0, 0, 0, 83
"e:\project\2025\TROIEditor\TROIEditor\obj\TROIEditor.csproj.nuget.g.props", "XML", 0, 0, 16, 0, 0, 0, 0, 16
"e:\project\2025\TROIEditor\TROIEditor\obj\TROIEditor.csproj.nuget.g.targets", "XML", 0, 0, 6, 0, 0, 0, 0, 6
"e:\project\2025\TROIEditor\TROIEditor\obj\TROIEditor_odgenulo_wpftmp.csproj.nuget.dgspec.json", "JSON", 0, 0, 0, 83, 0, 0, 0, 83
"e:\project\2025\TROIEditor\TROIEditor\obj\TROIEditor_odgenulo_wpftmp.csproj.nuget.g.props", "XML", 0, 0, 16, 0, 0, 0, 0, 16
"e:\project\2025\TROIEditor\TROIEditor\obj\TROIEditor_odgenulo_wpftmp.csproj.nuget.g.targets", "XML", 0, 0, 6, 0, 0, 0, 0, 6
"e:\project\2025\TROIEditor\TROIEditor\obj\project.assets.json", "JSON", 0, 0, 0, 151, 0, 0, 0, 151
"Total", "-", 6663, 28, 56, 432, 63, 110, 80, 7432
