"filename", "language", "C#", "XAML", "Markdown", "JSON", "XML", "Properties", "comment", "blank", "total"
"e:\project\2025\TROIEditor\TROIEditor\Configuration.md", "Markdown", 0, 0, 73, 0, 0, 0, 0, 0, 73
"e:\project\2025\TROIEditor\TROIEditor\Controls\RoiEditorControl.xaml", "XAML", 0, 67, 0, 0, 0, 0, 0, 0, 67
"e:\project\2025\TROIEditor\TROIEditor\Controls\RoiEditorControl.xaml.cs", "C#", 1127, 0, 0, 0, 0, 0, 0, 0, 1127
"e:\project\2025\TROIEditor\TROIEditor\MainWindow.xaml.cs", "C#", 25, 0, 0, 0, 0, 0, -3, -1, 21
"e:\project\2025\TROIEditor\TROIEditor\README.md", "Markdown", 0, 0, 334, 0, 0, 0, 0, 0, 334
"e:\project\2025\TROIEditor\TROIEditor\SampleApp\ViewModels\RoiEditorDemoViewModel.cs", "C#", 207, 0, 0, 0, 0, 0, 0, 0, 207
"e:\project\2025\TROIEditor\TROIEditor\SampleApp\Views\RoiEditorDemoWindow.xaml", "XAML", 0, 732, 0, 0, 0, 0, 0, 0, 732
"e:\project\2025\TROIEditor\TROIEditor\SampleApp\Views\RoiEditorDemoWindow.xaml.cs", "C#", 37, 0, 0, 0, 0, 0, 0, 0, 37
"e:\project\2025\TROIEditor\TROIEditor\ViewModels\RoiEditorViewModel.cs", "C#", 1556, 0, 0, 0, 0, 0, 0, 0, 1556
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\Controls\RoiEditorControl.g.cs", "C#", 69, 0, 0, 0, 0, 0, 15, 18, 102
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\Controls\RoiEditorControl.g.i.cs", "C#", 69, 0, 0, 0, 0, 0, 15, 18, 102
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\GeneratedInternalTypeHelper.g.cs", "C#", 26, 0, 0, 0, 0, 0, 27, 10, 63
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\GeneratedInternalTypeHelper.g.i.cs", "C#", 26, 0, 0, 0, 0, 0, 27, 10, 63
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\SampleApp\Views\RoiEditorDemoWindow.g.cs", "C#", 57, 0, 0, 0, 0, 0, 15, 13, 85
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\SampleApp\Views\RoiEditorDemoWindow.g.i.cs", "C#", 57, 0, 0, 0, 0, 0, 15, 13, 85
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor.AssemblyInfo.cs", "C#", 0, 0, 0, 0, 0, 0, -1, 0, -1
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_0khymdu1_wpftmp.AssemblyInfo.cs", "C#", 11, 0, 0, 0, 0, 0, 10, 5, 26
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_0khymdu1_wpftmp.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 0, 21, 0, 1, 22
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_0khymdu1_wpftmp.GlobalUsings.g.cs", "C#", 5, 0, 0, 0, 0, 0, 1, 1, 7
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_5d2ypyxl_wpftmp.AssemblyInfo.cs", "C#", 11, 0, 0, 0, 0, 0, 10, 5, 26
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_5d2ypyxl_wpftmp.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 0, 21, 0, 1, 22
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_5d2ypyxl_wpftmp.GlobalUsings.g.cs", "C#", 5, 0, 0, 0, 0, 0, 1, 1, 7
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_5djg5100_wpftmp.AssemblyInfo.cs", "C#", 11, 0, 0, 0, 0, 0, 10, 5, 26
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_5djg5100_wpftmp.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 0, 21, 0, 1, 22
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_5djg5100_wpftmp.GlobalUsings.g.cs", "C#", 5, 0, 0, 0, 0, 0, 1, 1, 7
